"activity" "subject" "value" "signal" "action" "measure" "coordinate"
"WALKING" "1" 0.277330758736842 "time" "BodyAcc" "mean()" "X"
"WALKING" "2" 0.276426586440678 "time" "BodyAcc" "mean()" "X"
"WALKING" "3" 0.275567462068966 "time" "BodyAcc" "mean()" "X"
"WALKING" "4" 0.278582015166667 "time" "BodyAcc" "mean()" "X"
"WALKING" "5" 0.27784234625 "time" "BodyAcc" "mean()" "X"
"WALKING" "6" 0.283658868070175 "time" "BodyAcc" "mean()" "X"
"WALKING" "7" 0.275592961754386 "time" "BodyAcc" "mean()" "X"
"WALKING" "8" 0.27468631 "time" "BodyAcc" "mean()" "X"
"WALKING" "9" 0.278502842115385 "time" "BodyAcc" "mean()" "X"
"WALKING" "10" 0.278574076603774 "time" "BodyAcc" "mean()" "X"
"WALKING" "11" 0.271821892881356 "time" "BodyAcc" "mean()" "X"
"WALKING" "12" 0.2771286656 "time" "BodyAcc" "mean()" "X"
"WALKING" "13" 0.275883130350877 "time" "BodyAcc" "mean()" "X"
"WALKING" "14" 0.271959598644068 "time" "BodyAcc" "mean()" "X"
"WALKING" "15" 0.273899207962963 "time" "BodyAcc" "mean()" "X"
"WALKING" "16" 0.276023564509804 "time" "BodyAcc" "mean()" "X"
"WALKING" "17" 0.272341855245902 "time" "BodyAcc" "mean()" "X"
"WALKING" "18" 0.273887758571429 "time" "BodyAcc" "mean()" "X"
"WALKING" "19" 0.273931172307692 "time" "BodyAcc" "mean()" "X"
"WALKING" "20" 0.272589336470588 "time" "BodyAcc" "mean()" "X"
"WALKING" "21" 0.279183526730769 "time" "BodyAcc" "mean()" "X"
"WALKING" "22" 0.27886459 "time" "BodyAcc" "mean()" "X"
"WALKING" "23" 0.273211884237288 "time" "BodyAcc" "mean()" "X"
"WALKING" "24" 0.276980816034483 "time" "BodyAcc" "mean()" "X"
"WALKING" "25" 0.278992759054054 "time" "BodyAcc" "mean()" "X"
"WALKING" "26" 0.279264443728814 "time" "BodyAcc" "mean()" "X"
"WALKING" "27" 0.276849485438596 "time" "BodyAcc" "mean()" "X"
"WALKING" "28" 0.281228223888889 "time" "BodyAcc" "mean()" "X"
"WALKING" "29" 0.271999916792453 "time" "BodyAcc" "mean()" "X"
"WALKING" "30" 0.276406758 "time" "BodyAcc" "mean()" "X"
"WALKING_UPSTAIRS" "1" 0.255461689622641 "time" "BodyAcc" "mean()" "X"
"WALKING_UPSTAIRS" "2" 0.247164790395833 "time" "BodyAcc" "mean()" "X"
"WALKING_UPSTAIRS" "3" 0.260819873067797 "time" "BodyAcc" "mean()" "X"
"WALKING_UPSTAIRS" "4" 0.270876696730769 "time" "BodyAcc" "mean()" "X"
"WALKING_UPSTAIRS" "5" 0.268459469914894 "time" "BodyAcc" "mean()" "X"
"WALKING_UPSTAIRS" "6" 0.268229355098039 "time" "BodyAcc" "mean()" "X"
"WALKING_UPSTAIRS" "7" 0.248706923078431 "time" "BodyAcc" "mean()" "X"
"WALKING_UPSTAIRS" "8" 0.258880152048781 "time" "BodyAcc" "mean()" "X"
"WALKING_UPSTAIRS" "9" 0.262436475714286 "time" "BodyAcc" "mean()" "X"
"WALKING_UPSTAIRS" "10" 0.267121853404255 "time" "BodyAcc" "mean()" "X"
"WALKING_UPSTAIRS" "11" 0.263775859277778 "time" "BodyAcc" "mean()" "X"
"WALKING_UPSTAIRS" "12" 0.272970338653846 "time" "BodyAcc" "mean()" "X"
"WALKING_UPSTAIRS" "13" 0.258203939581818 "time" "BodyAcc" "mean()" "X"
"WALKING_UPSTAIRS" "14" 0.26242106612963 "time" "BodyAcc" "mean()" "X"
"WALKING_UPSTAIRS" "15" 0.270187595833333 "time" "BodyAcc" "mean()" "X"
"WALKING_UPSTAIRS" "16" 0.255986102627451 "time" "BodyAcc" "mean()" "X"
"WALKING_UPSTAIRS" "17" 0.252604768583333 "time" "BodyAcc" "mean()" "X"
"WALKING_UPSTAIRS" "18" 0.265401201896552 "time" "BodyAcc" "mean()" "X"
"WALKING_UPSTAIRS" "19" 0.242118808925 "time" "BodyAcc" "mean()" "X"
"WALKING_UPSTAIRS" "20" 0.252098317156863 "time" "BodyAcc" "mean()" "X"
"WALKING_UPSTAIRS" "21" 0.265194544680851 "time" "BodyAcc" "mean()" "X"
"WALKING_UPSTAIRS" "22" 0.248391534566667 "time" "BodyAcc" "mean()" "X"
"WALKING_UPSTAIRS" "23" 0.249995171031373 "time" "BodyAcc" "mean()" "X"
"WALKING_UPSTAIRS" "24" 0.269881106779661 "time" "BodyAcc" "mean()" "X"
"WALKING_UPSTAIRS" "25" 0.277995411384615 "time" "BodyAcc" "mean()" "X"
"WALKING_UPSTAIRS" "26" 0.272691394545455 "time" "BodyAcc" "mean()" "X"
"WALKING_UPSTAIRS" "27" 0.265770253921569 "time" "BodyAcc" "mean()" "X"
"WALKING_UPSTAIRS" "28" 0.262005841764706 "time" "BodyAcc" "mean()" "X"
"WALKING_UPSTAIRS" "29" 0.265423066877551 "time" "BodyAcc" "mean()" "X"
"WALKING_UPSTAIRS" "30" 0.271415642261538 "time" "BodyAcc" "mean()" "X"
"WALKING_DOWNSTAIRS" "1" 0.289188320408163 "time" "BodyAcc" "mean()" "X"
"WALKING_DOWNSTAIRS" "2" 0.27761534806383 "time" "BodyAcc" "mean()" "X"
"WALKING_DOWNSTAIRS" "3" 0.292423484693878 "time" "BodyAcc" "mean()" "X"
"WALKING_DOWNSTAIRS" "4" 0.279965329555556 "time" "BodyAcc" "mean()" "X"
"WALKING_DOWNSTAIRS" "5" 0.29354392712766 "time" "BodyAcc" "mean()" "X"
"WALKING_DOWNSTAIRS" "6" 0.277045258145833 "time" "BodyAcc" "mean()" "X"
"WALKING_DOWNSTAIRS" "7" 0.28030708 "time" "BodyAcc" "mean()" "X"
"WALKING_DOWNSTAIRS" "8" 0.283484089210526 "time" "BodyAcc" "mean()" "X"
"WALKING_DOWNSTAIRS" "9" 0.295923445 "time" "BodyAcc" "mean()" "X"
"WALKING_DOWNSTAIRS" "10" 0.290401594315789 "time" "BodyAcc" "mean()" "X"
