"activity" "subject" "value" "t_f" "action" "measure" "coordinate"
"WALKING" "1" 0.277330758736842 "t" "BodyAcc" "mean()" "X"
"WALKING" "2" 0.276426586440678 "t" "BodyAcc" "mean()" "X"
"WALKING" "3" 0.275567462068966 "t" "BodyAcc" "mean()" "X"
"WALKING" "4" 0.278582015166667 "t" "BodyAcc" "mean()" "X"
"WALKING" "5" 0.27784234625 "t" "BodyAcc" "mean()" "X"
"WALKING" "6" 0.283658868070175 "t" "BodyAcc" "mean()" "X"
"WALKING" "7" 0.275592961754386 "t" "BodyAcc" "mean()" "X"
"WALKING" "8" 0.27468631 "t" "BodyAcc" "mean()" "X"
"WALKING" "9" 0.278502842115385 "t" "BodyAcc" "mean()" "X"
"WALKING" "10" 0.278574076603774 "t" "BodyAcc" "mean()" "X"
"WALKING" "11" 0.271821892881356 "t" "BodyAcc" "mean()" "X"
"WALKING" "12" 0.2771286656 "t" "BodyAcc" "mean()" "X"
"WALKING" "13" 0.275883130350877 "t" "BodyAcc" "mean()" "X"
"WALKING" "14" 0.271959598644068 "t" "BodyAcc" "mean()" "X"
"WALKING" "15" 0.273899207962963 "t" "BodyAcc" "mean()" "X"
"WALKING" "16" 0.276023564509804 "t" "BodyAcc" "mean()" "X"
"WALKING" "17" 0.272341855245902 "t" "BodyAcc" "mean()" "X"
"WALKING" "18" 0.273887758571429 "t" "BodyAcc" "mean()" "X"
"WALKING" "19" 0.273931172307692 "t" "BodyAcc" "mean()" "X"
"WALKING" "20" 0.272589336470588 "t" "BodyAcc" "mean()" "X"
"WALKING" "21" 0.279183526730769 "t" "BodyAcc" "mean()" "X"
"WALKING" "22" 0.27886459 "t" "BodyAcc" "mean()" "X"
"WALKING" "23" 0.273211884237288 "t" "BodyAcc" "mean()" "X"
"WALKING" "24" 0.276980816034483 "t" "BodyAcc" "mean()" "X"
"WALKING" "25" 0.278992759054054 "t" "BodyAcc" "mean()" "X"
"WALKING" "26" 0.279264443728814 "t" "BodyAcc" "mean()" "X"
"WALKING" "27" 0.276849485438596 "t" "BodyAcc" "mean()" "X"
"WALKING" "28" 0.281228223888889 "t" "BodyAcc" "mean()" "X"
"WALKING" "29" 0.271999916792453 "t" "BodyAcc" "mean()" "X"
"WALKING" "30" 0.276406758 "t" "BodyAcc" "mean()" "X"
"WALKING_UPSTAIRS" "1" 0.255461689622641 "t" "BodyAcc" "mean()" "X"
"WALKING_UPSTAIRS" "2" 0.247164790395833 "t" "BodyAcc" "mean()" "X"
"WALKING_UPSTAIRS" "3" 0.260819873067797 "t" "BodyAcc" "mean()" "X"
"WALKING_UPSTAIRS" "4" 0.270876696730769 "t" "BodyAcc" "mean()" "X"
"WALKING_UPSTAIRS" "5" 0.268459469914894 "t" "BodyAcc" "mean()" "X"
"WALKING_UPSTAIRS" "6" 0.268229355098039 "t" "BodyAcc" "mean()" "X"
